🕘️更新时间,#genre#
2025-11-27 06:25:49,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33

📺央视频道,#genre#
CCTV-1,http://php.jdshipin.com:8880/TVOD/iptv.php?id=rthk33
CCTV-1,http://php.jdshipin.com/TVOD/iptv.php?id=rthk33
CCTV-2,http://223.167.230.235:4022/rtp/239.45.3.208:5140
CCTV-13,https://cdn3.163189.xyz/163189/cctv13
CCTV-13,https://event.pull.hebtv.com/jishi/cp1.m3u8
CCTV-13,https://epg.pw/stream/5d3d047c64e44d0a24dc33e5700e579457201d2960036b43819bd930a0bb76a7.m3u8
CCTV-13,http://ali-m-l.cztv.com/channels/lantian/channel21/1080p.m3u8
CCTV-13,http://144.255.32.94:8288/rtp/239.21.2.3:5002
CCTV-14,https://event.pull.hebtv.com/jishi/cp2.m3u8
CCTV-16,https://epg.pw/stream/c1beb2abcba5aef09c2f58efc3ca84b76de2c7b9cf60762b0d79772d9e70d454.m3u8

📡卫视频道,#genre#
广东卫视,http://sh.lnott.top:880/dx40.m3u8
广东卫视,http://60.13.52.236:65500/newlive/live/hls/23/live.m3u8
浙江卫视,http://ali-m-l.cztv.com/channels/lantian/channel01/1080p.m3u8
浙江卫视,http://ali-vl.cztv.com/channels/lantian/channel001/360p.m3u8
浙江卫视,https://ali-m-l.cztv.com/channels/lantian/channel001/1080p.m3u8
湖南卫视,http://satellitepull.cnr.cn/live/wx32hunws/playlist.m3u8
北京卫视,http://satellitepull.cnr.cn/live/wxbtv/playlist.m3u8
东方卫视,http://cdn.jdshipin.com/kkxw.php?id=1
东方卫视,https://epg.pw/stream/6aec3ea636542c53729b5c9dd290864ab04d4a69d2b9cb7864a9898779915898.m3u8
江苏卫视,http://60.13.52.236:65500/newlive/live/hls/20/live.m3u8

📡港澳台,#genre#
明珠台,http://php.jdshipin.com/smt.php?id=pearl_twn
明珠台,http://bxtv.3a.ink/api.php?id=mz
明珠台,http://122.152.202.33/s/81a8a44f/index.m3u8?id=23
明珠台,http://120.198.101.106:9901/tsfile/live/1008_1.m3u8?key=txiptv
凤凰中文,http://php.jdshipin.com/PLTV/iptv.php?id=fhzw
凤凰中文,https://cdn6.101.qzz.io/163189/fhzw
凤凰中文,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhzw
凤凰中文,https://cdn.iptv8k.top/dl/jrys.php?id=19&time=20240926215313&ip=111.229.253.40
凤凰中文,http://playtv-live.ifeng.com/live/06OLEGEGM4G_audio.m3u8
凤凰香港,http://php.jdshipin.com:8880/TVOD/iptv.php?id=fhhk
凤凰香港,https://cdn6.101.qzz.io/163189/fhhk
凤凰香港,http://php.jdshipin.com/PLTV/iptv.php?id=fhhk
凤凰香港,https://cdn.iptv8k.top/dl/jrys.php?id=18&time=20240926215313&ip=111.229.253.40
有线新闻,http://61.10.2.141:80/live_freedirect/freehd209_h.live/chunklist.m3u8
有线新闻,http://61.10.2.141/live_freedirect/freehd209_h.live/playlist.m3u8
